sugars_100g,fat_100g,salt_100g,fiber_100g,fruit_veg_100g,additives_n,proteins_100g,carbohydrates_100g,target,is_empty_calories,is_hidden_sodium,is_hyper_processed,is_low_fat_sugar_trap,is_hyperpalatable,violates_expectations,is_functionally_inconsistent,is_ultra_processed_combo,symbolic_score
20.0,4.7,0.7,3.6,0.0,0.0,1.9,20.8,1,0,0,0,0,0,0,0,0,0
20.27,6.76,0.26162,9.5,0.0,0.0,10.81,68.92,0,0,0,0,0,0,0,0,0,0
0.7,5.2,0.4572,0.4,0.0,0.0,12.4,7.5,0,0,0,0,0,0,0,0,0,0
3.53,0.0,0.04572,3.5,0.0,0.0,2.35,17.65,0,0,0,0,0,0,0,0,0,0
17.61,0.0,0.0,0.0,0.0,4.0,0.0,18.31,1,1,0,1,1,0,0,0,0,11
1.79,8.93,2.40284,0.0,0.0,6.0,12.5,5.36,1,0,1,1,0,0,0,0,0,0
20.0,28.0,0.3,0.0,0.0,5.0,7.2,62.0,1,1,0,1,0,0,0,0,0,0
0.8,0.5,0.127,4.4,0.0,0.0,2.3,8.2,0,0,0,0,0,0,0,0,0,0
1.3,29.87,2.60604,0.0,0.0,3.0,11.69,3.9,1,0,1,0,0,0,0,0,0,0
1.0,24.0,0.7,3.3,0.0,0.0,6.9,63.0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,0.79248,3.2,0.0,0.0,3.2,11.2,0,0,0,0,0,0,0,0,0,0
5.88,1.26,0.14986,1.7,0.0,4.0,8.4,11.76,0,0,0,1,0,0,0,0,0,0
12.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,1,0,0,0,0,0,0,0,0,0
18.3,0.0,0.14,0.0,0.0,0.0,3.4,0.0,1,1,0,0,1,0,0,0,0,7
3.57,42.86,0.86106,3.6,0.0,0.0,7.14,46.43,1,0,0,0,0,0,0,0,0,0
0.5,9.9,0.5,0.0,0.0,0.0,27.3,0.5,0,0,0,0,0,0,0,0,0,0
0.0,16.44,2.59842,0.0,0.0,0.0,14.18,2.04,1,0,1,0,0,0,0,0,0,3
32.35,17.65,0.87884,2.2,0.0,2.0,3.68,46.32,1,1,0,0,0,0,0,0,0,0
0.2,16.0,0.19,0.0,0.0,0.0,19.0,0.2,0,0,0,0,0,0,0,0,0,0
0.5,10.9,1.01,2.9,0.0,2.0,2.7,10.1,0,0,0,0,0,0,0,0,0,0
1.0,9.0,0.9,1.5,0.0,0.0,13.0,15.0,0,0,0,0,0,0,0,0,0,0
0.0,5.36,0.36322,0.0,0.0,0.0,19.64,0.89,0,0,0,0,0,0,0,0,0,0
1.7,15.0,1.9,0.0,0.0,6.0,11.0,28.0,1,0,1,1,0,0,0,0,0,0
1.3,5.1,1.4,1.0,0.0,0.0,3.4,27.0,1,0,0,0,0,0,0,0,0,0
9.17,0.0,0.0,0.0,0.0,2.0,0.83,10.83,0,0,0,0,0,0,0,0,0,0
28.57,14.29,1.14808,9.5,0.0,1.0,9.52,52.38,1,0,0,0,0,0,0,0,0,0
0.5,72.6,1.18,0.5,0.0,9.0,1.4,2.2,1,0,0,1,0,0,0,0,0,0
0.0,25.0,2.0,0.0,0.0,1.0,25.0,0.0,1,0,1,0,0,0,0,0,0,3
1.0,45.8,4.2,0.0,0.0,3.0,27.0,1.8,1,0,1,0,0,0,0,0,0,0
1.0,0.0,0.8,0.0,0.0,0.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0
0.0,1.33,0.1016,0.0,0.0,0.0,18.58,0.0,0,0,0,0,0,0,0,0,0,0
2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0
0.0,42.86,1.08966,0.0,0.0,0.0,14.29,42.86,1,0,0,0,0,0,0,0,0,0
42.62,18.03,0.99822,3.3,0.0,3.0,4.92,65.57,1,0,0,0,0,0,0,0,0,0
0.0,21.43,3.26644,0.0,0.0,1.0,0.0,0.0,1,0,1,0,0,0,0,0,0,3
45.0,0.0,0.15748,5.0,0.0,5.0,2.5,65.0,1,0,0,1,1,0,0,0,0,7
7.86,5.71,0.81534,1.4,0.0,1.0,1.43,12.14,1,0,0,0,0,0,0,0,0,0
0.2,0.4,0.16,1.3,100.0,0.0,2.0,0.5,0,0,0,0,0,0,0,0,0,0
75.0,0.5,0.08,1.0,0.0,0.0,0.5,79.0,1,1,0,0,1,0,0,0,0,0
53.0,22.5,0.03,4.9,0.0,3.0,7.7,57.0,1,0,0,0,0,0,0,0,0,0
55.0,20.0,0.254,2.5,0.0,0.0,5.0,67.5,1,1,0,0,0,0,0,0,0,0
6.1,50.0,1.08,1.6,0.0,0.0,20.0,24.0,1,0,0,0,0,0,0,0,0,0
0.0,5.0,0.5588,0.0,0.0,0.0,5.0,1.0,0,0,0,0,0,0,0,0,0,0
0.0,1.77,1.39446,0.0,0.0,1.0,16.81,0.88,0,0,0,0,0,0,0,0,0,0
38.71,19.35,0.9017,3.2,0.0,3.0,3.23,61.29,1,0,0,0,0,0,0,0,0,0
0.5,4.7,0.85,1.0,0.0,1.0,2.0,9.4,1,0,0,0,0,0,0,0,0,0
9.09,12.12,0.56388,0.0,0.0,3.0,15.15,7.07,1,0,0,0,0,0,0,0,0,0
10.83,0.0,0.00508,0.0,0.0,2.0,0.0,11.25,0,0,0,0,0,0,0,0,0,0
13.33,60.0,0.08382,13.3,0.0,0.0,6.67,33.33,1,0,0,0,0,0,0,0,0,0
9.33,0.0,0.0762,0.0,0.0,1.0,8.67,10.0,0,0,0,0,0,0,0,0,0,0
6.0,47.5,0.0,0.0,0.0,0.0,21.0,25.0,1,0,0,0,0,0,0,0,0,0
0.0,33.33,1.73736,0.0,0.0,4.0,12.28,5.26,1,0,1,1,0,0,0,0,0,7
52.5,35.0,0.1905,2.5,0.0,1.0,7.5,57.5,1,1,0,0,0,0,0,0,0,0
1.54,8.46,1.016,0.8,0.0,3.0,3.85,16.92,1,0,0,0,0,0,0,0,0,0
0.0,25.0,0.72644,3.6,0.0,0.0,7.14,57.14,0,0,0,0,0,0,0,0,0,0
2.08,25.0,2.48666,0.0,0.0,4.0,14.58,4.17,1,0,1,1,0,0,0,0,0,0
2.48,0.0,0.37846,0.8,0.0,1.0,0.83,4.13,0,0,0,0,0,0,0,0,0,0
0.0,10.71,3.08356,0.0,0.0,3.0,7.14,71.43,1,0,1,0,0,0,0,0,0,3
9.7,0.0,0.0,0.0,100.0,0.0,0.0,10.2,1,0,0,0,0,0,0,0,0,0
26.0,0.0,0.01,0.5,0.0,0.0,0.6,0.0,1,1,0,0,1,0,0,0,0,7
8.05,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,0,0,0,0,0,0,0,0,0
7.03,1.95,0.93218,1.6,0.0,1.0,1.56,10.16,1,0,0,0,0,0,0,0,0,0
31.11,13.33,1.18618,2.2,0.0,0.0,26.67,48.89,1,1,0,0,0,0,0,0,0,0
16.6,3.8,0.2,0.0,0.0,0.0,4.1,17.0,1,1,0,0,0,0,0,0,0,0
4.41,0.0,0.0889,0.0,0.0,0.0,9.25,4.41,0,0,0,0,0,0,0,0,0,0
13.44,3.2,0.0,0.32,0.0,1.0,3.52,13.52,1,0,0,0,0,0,0,0,0,0
1.3,0.5,0.033,1.8,0.0,0.0,7.1,14.9,0,0,0,0,0,0,0,0,0,0
0.01,11.0,0.9,0.01,0.0,0.0,5.1,0.01,0,0,0,0,0,0,0,0,0,0
